date,temperature,humidity,wind_speed,pressure,cloud_cover,precipitation,temperature_min,temperature_max,temp_range,temp_hourly_std,hdh_18c,hdh_15c,hours_below_0c,wind_chill_mean,wind_chill_min
2025-04-28 07:00:00,8.254166666666666,46.625,9.358333333333333,1030.6000000000001,1.875,0.0,4.2,12.5,8.3,2.805581264530411,233.9,161.9,0,7.318333333333334,3.05
2025-04-29 07:00:00,12.341666666666667,46.625,14.791666666666666,1023.7583333333333,1.2916666666666667,0.0,6.9,17.3,10.4,3.5363843813637716,135.79999999999998,75.3,0,10.862499999999999,5.82
2025-04-30 07:00:00,15.5875,49.833333333333336,13.112499999999999,1017.3833333333333,3.7916666666666665,0.0,8.6,22.3,13.700000000000001,4.578998608961307,80.8,40.6,0,14.27625,7.88
2025-05-01 07:00:00,17.587500000000002,43.25,17.329166666666666,1014.9208333333332,4.5,0.0,8.6,25.5,16.9,5.335387398835457,60.4,28.6,0,15.854583333333332,6.8
2025-05-02 07:00:00,11.3125,44.708333333333336,14.75,1018.2791666666667,0.20833333333333334,0.0,5.2,16.2,11.0,3.7742044943560487,160.5,93.5,0,9.8375,4.8
2025-05-03 07:00:00,14.916666666666666,36.833333333333336,13.383333333333333,1016.3333333333334,0.25,0.0,8.3,20.4,12.099999999999998,4.045358764835561,86.3,43.3,0,13.578333333333333,7.9
2025-05-04 07:00:00,16.620833333333334,42.333333333333336,16.3875,1012.2958333333332,0.75,0.0,10.3,22.9,12.599999999999998,4.543316081288285,66.3,29.999999999999993,0,14.982083333333334,9.4
2025-05-05 07:00:00,18.054166666666667,51.083333333333336,12.733333333333334,1010.1041666666666,2.0416666666666665,0.0,11.3,24.3,13.0,4.3593955670648805,44.6,14.9,0,16.780833333333334,10.56
2025-05-06 07:00:00,17.408333333333335,60.0,11.133333333333333,1012.0875,6.916666666666667,1.4,12.1,24.0,11.9,3.7224251873425636,45.199999999999996,12.100000000000001,0,16.295,11.49
2025-05-07 07:00:00,17.233333333333334,71.83333333333333,12.0875,1008.2208333333333,6.916666666666667,8.3,12.1,23.0,10.9,3.4616742200555364,46.3,12.499999999999998,0,16.024583333333332,10.66
2025-05-08 07:00:00,15.041666666666666,57.083333333333336,13.716666666666667,1011.0416666666666,6.583333333333333,0.0,10.2,19.6,9.400000000000002,3.335177026351292,78.7,34.4,0,13.67,9.08
2025-05-09 07:00:00,11.9,80.125,19.349999999999998,1010.4708333333333,7.541666666666667,13.3,6.9,16.0,9.1,3.4501417740245928,146.4,77.8,0,9.965,5.45
2025-05-10 07:00:00,10.404166666666667,56.0,12.329166666666666,1015.6708333333332,3.875,0.0,6.1,15.0,8.9,3.2295482476745834,182.3,110.3,0,9.171249999999999,5.38
2025-05-11 07:00:00,12.116666666666667,74.375,12.279166666666667,1013.3125,6.5,1.7000000000000002,8.2,17.1,8.900000000000002,2.991679282198585,141.2,74.9,0,10.88875,7.659999999999999
2025-05-12 07:00:00,9.983333333333333,79.41666666666667,13.5,1010.6,4.833333333333333,2.3,4.8,13.6,8.8,3.060785160232819,192.4,120.4,0,8.633333333333333,3.6499999999999995
2025-05-13 07:00:00,10.612499999999999,64.83333333333333,11.266666666666666,1011.6291666666666,1.1666666666666667,0.1,5.2,15.5,10.3,3.7812250717827234,177.3,107.1,0,9.485833333333334,4.48
2025-05-14 07:00:00,11.929166666666667,68.66666666666667,13.191666666666668,1012.3000000000001,2.125,2.9,8.1,16.5,8.4,3.039376247030712,145.70000000000002,78.30000000000001,0,10.61,6.9799999999999995
2025-05-15 07:00:00,14.125,62.541666666666664,17.354166666666668,1014.9458333333333,3.4166666666666665,0.8,9.0,18.7,9.7,3.3582151056256326,94.6,46.3,0,12.389583333333334,8.1
2025-05-16 07:00:00,16.1125,56.875,20.195833333333333,1015.2333333333332,6.833333333333333,0.0,11.8,19.3,7.5,2.1156379446974083,51.400000000000006,7.999999999999998,0,14.092916666666667,10.58
2025-05-17 07:00:00,15.674999999999999,76.33333333333333,17.916666666666668,1006.8625000000001,6.75,1.3,11.8,20.4,8.599999999999998,2.862539158646152,63.699999999999996,22.699999999999996,0,13.883333333333333,10.680000000000001
2025-05-18 07:00:00,13.620833333333332,77.58333333333333,15.741666666666667,1011.2916666666666,3.5,2.7,9.6,18.5,8.9,3.0757083548441293,106.2,52.6,0,12.046666666666667,8.48
2025-05-19 07:00:00,14.870833333333332,71.375,18.195833333333333,1010.5833333333334,6.583333333333333,11.7,11.1,19.8,8.700000000000001,2.92225034886631,79.0,32.9,0,13.051250000000001,9.629999999999999
